domain,page_url,found_type,value,anchor_text,context_snippet,relevance_score,status_code,note,detected_language,language_confidence
leparisien.fr,https://www.leparisien.fr:443/,email,bderveaux@leparisien.fr,,,60,200,text_email,fr,0.5125
leparisien.fr,https://www.leparisien.fr:443/,email,obureau@leparisien.fr,,,60,200,text_email,fr,0.5125
leparisien.fr,https://www.leparisien.fr:443/,email,cballe@leparisien.fr,,,60,200,text_email,fr,0.5125
leparisien.fr,https://www.leparisien.fr:443/,email,bquarez@leparisien.fr,,,60,200,text_email,fr,0.5125
leparisien.fr,https://www.leparisien.fr:443/,email,cpiquet@leparisien.fr,,,60,200,text_email,fr,0.5125
leparisien.fr,https://www.leparisien.fr:443/,email,rfolgoas@leparisien.fr,,,60,200,text_email,fr,0.5125
leparisien.fr,https://www.leparisien.fr:443/,email,cbrigaudeau@leparisien.fr,,,60,200,text_email,fr,0.5125
leparisien.fr,https://www.leparisien.fr:443/,link,https://www.leparisien.fr:443/contact/,Contacter la rédaction,chères publiques Services Cours d'anglais Nos applications Comparateurs Jeux Concours Billetterie Annonces immobilières Contacter la rédaction Accessibilité Nouveau En ce moment Défiler les accès rapides vers la gauche Donald Trump Groenland Guerre en Ukraine Mé,60,200,keyword_link,fr,0.5125
leparisien.fr,https://www.leparisien.fr:443/,link,https://www.leparisien.fr/high-tech/dans-le-telephone-de-samuel-etienne-mon-contact-le-plus-celebre-quelquun-de-disparu-22-01-2026-REKLHAAPB5AN3B6DHNYQ4TNL6E.php,Samuel Étienne : « Mon contact le plus célèbre ? Quelqu’un de disparu »,"la haine avec Rachida Dati Série · Épisode 5 La maire « anti-voiture » qui a mis les Parisiens au vélo Nos témoignages Samuel Étienne : « Mon contact le plus célèbre ? Quelqu’un de disparu » Dans le téléphone Yohann, prosopagnosique : « Je n’arrive pas à reconnaître les visages, même celui de mon enfant » Dan",60,200,keyword_link,fr,0.5125
leparisien.fr,https://www.leparisien.fr:443/,link,https://www.leparisien.fr:443/politique-confidentialite/,Politique de confidentialité,2022 2021 Accessibilité numérique : partiellement conforme © Le Parisien Nous écrire Qui sommes nous ? Nos chartes CGU Politique de confidentialité Gestion des cookies Espace pro Espace presse,60,200,keyword_link,fr,0.5125
leparisien.fr,https://www.leparisien.fr:443/contact/,email,cfc@4x.png,,,60,200,text_email,fr,0.5125
leparisien.fr,https://www.leparisien.fr/high-tech/dans-le-telephone-de-samuel-etienne-mon-contact-le-plus-celebre-quelquun-de-disparu-22-01-2026-REKLHAAPB5AN3B6DHNYQ4TNL6E.php,email,dds+c21natio@f4-group.com,,,60,200,text_email,fr,0.5125
leparisien.fr,https://www.leparisien.fr/high-tech/dans-le-telephone-de-samuel-etienne-mon-contact-le-plus-celebre-quelquun-de-disparu-22-01-2026-REKLHAAPB5AN3B6DHNYQ4TNL6E.php,link,https://www.leparisien.fr/contact/,Contacter la rédaction,"chères publiques Services Cours d'anglais Nos applications Comparateurs Jeux Concours Billetterie Annonces immobilières Contacter la rédaction Accessibilité Nouveau Interview Interview Futurs , High-tech Dans le téléphone de Samuel Étienne : « Mon contact le plu",60,200,keyword_link,fr,0.5125
leparisien.fr,https://www.leparisien.fr/high-tech/dans-le-telephone-de-samuel-etienne-mon-contact-le-plus-celebre-quelquun-de-disparu-22-01-2026-REKLHAAPB5AN3B6DHNYQ4TNL6E.php,link,https://www.leparisien.fr/politique-confidentialite/,Politique de confidentialité,2016 Parcoursup 2026 Codes de réduction Résultats élections © Le Parisien Nous écrire Qui sommes nous ? Nos chartes CGU Politique de confidentialité Gestion des cookies Espace pro Espace presse Accessibilité numérique : partiellement conforme,60,200,keyword_link,fr,0.5125
lequipe.fr,https://www.lequipe.fr/Page/Tous-les-contacts-utiles/1183885,email,contact@lequipe.fr,,dias guide d'achat Nous contacter Tous les contacts utiles ma liste L'Équipe.fr Écrivez à la rédaction de l'Équipe.fr : contact@lequipe.fr Pour toutes les questions concernant le site L'Équipe.fr : contact@lequipe.fr Pour contacter les abonnements numériques,100,200,text_email,fr,0.5125
lequipe.fr,https://www.lequipe.fr/Page/Tous-les-contacts-utiles/1183885,email,u003Econtact@lequipe.fr,,,100,200,text_email,fr,0.5125
lequipe.fr,https://www.lequipe.fr/,link,https://www.lequipe.fr/Page/Politique-de-confidentialite/1183897,politique de confidentialité,quipe la boutique des Unes et Photos espace licenciés L'Équipe Fondaction L'Équipe autres informations mentions légales politique de confidentialité conditions générales d'utilisation conditions générales de vente jeux concours la chaine L'Équipe environnement paramét,60,200,keyword_link,fr,0.5125
lequipe.fr,https://www.lequipe.fr/,link,https://www.lequipe.fr/mon-compte/faq,aide et contact,L'Équipe environnement paramétrer mon consentement organigramme L'Équipe Amaury groupe ASO Amaury média offres d'emploi aide et contact nous contacter L'ÉQUIPE publicité L'ÉQUIPE publicité Open d'Australie Euro hand mes actus football rugby tennis cyclism,60,200,keyword_link,fr,0.5125
lequipe.fr,https://www.lequipe.fr/,link,https://www.lequipe.fr/Page/Tous-les-contacts-utiles/1183885,nous contacter,nement paramétrer mon consentement organigramme L'Équipe Amaury groupe ASO Amaury média offres d'emploi aide et contact nous contacter L'ÉQUIPE publicité L'ÉQUIPE publicité Open d'Australie Euro hand mes actus football rugby tennis cyclisme basket auto-m,60,200,keyword_link,fr,0.5125
lequipe.fr,https://www.lequipe.fr/Page/Tous-les-contacts-utiles/1183885,email,abonumerique@lequipe.fr,,ur toutes les questions concernant le site L'Équipe.fr : contact@lequipe.fr Pour contacter les abonnements numériques : abonumerique@lequipe.fr Pour contacter notre régie publicitaire : commerciauxdigital@amaurymedia.fr La chaine L'Équipe Écrivez à la rédaction d,60,200,text_email,fr,0.5125
lequipe.fr,https://www.lequipe.fr/Page/Tous-les-contacts-utiles/1183885,email,commerciauxdigital@amaurymedia.fr,,equipe.fr Pour contacter les abonnements numériques : abonumerique@lequipe.fr Pour contacter notre régie publicitaire : commerciauxdigital@amaurymedia.fr La chaine L'Équipe Écrivez à la rédaction de la chaine L'Équipe : contact@lequipe.fr Pour contacter notre régie publici,60,200,text_email,fr,0.5125
lequipe.fr,https://www.lequipe.fr/Page/Tous-les-contacts-utiles/1183885,email,commerciauxequipetv@amaurymedia.fr,,ne L'Équipe Écrivez à la rédaction de la chaine L'Équipe : contact@lequipe.fr Pour contacter notre régie publicitaire : commerciauxequipetv@amaurymedia.fr L'Équipe Écrivez à la rédaction de l'Équipe : courrierdeslecteurs@lequipe.fr Contactez les abonnements : abonumerique@l,60,200,text_email,fr,0.5125
lequipe.fr,https://www.lequipe.fr/Page/Tous-les-contacts-utiles/1183885,email,courrierdeslecteurs@lequipe.fr,,r contacter notre régie publicitaire : commerciauxequipetv@amaurymedia.fr L'Équipe Écrivez à la rédaction de l'Équipe : courrierdeslecteurs@lequipe.fr Contactez les abonnements : abonumerique@lequipe.fr Pour acheter un ancien numéro (datant de moins de 2 mois) : cliquez,60,200,text_email,fr,0.5125
lequipe.fr,https://www.lequipe.fr/Page/Tous-les-contacts-utiles/1183885,email,editions@lequipe.fr,,merique@lequipe.fr Pour acheter un ancien numéro (datant de moins de 2 mois) : cliquez ici Pour Les Éditions L'Équipe : editions@lequipe.fr Pour contacter notre régie publicitaire : commerciauxequipeprint@amaurymedia.fr Pour des opérations spéciales en média,60,200,text_email,fr,0.5125
lequipe.fr,https://www.lequipe.fr/Page/Tous-les-contacts-utiles/1183885,email,commerciauxequipeprint@amaurymedia.fr,,ins de 2 mois) : cliquez ici Pour Les Éditions L'Équipe : editions@lequipe.fr Pour contacter notre régie publicitaire : commerciauxequipeprint@amaurymedia.fr Pour des opérations spéciales en média et hors média : ops@amaurymedia.fr Le magazine L'Équipe Écrivez à la rédaction d,60,200,text_email,fr,0.5125
lequipe.fr,https://www.lequipe.fr/Page/Tous-les-contacts-utiles/1183885,email,ops@amaurymedia.fr,,notre régie publicitaire : commerciauxequipeprint@amaurymedia.fr Pour des opérations spéciales en média et hors média : ops@amaurymedia.fr Le magazine L'Équipe Écrivez à la rédaction de l'Équipe Magazine : contact@lequipe.fr Pour contacter notre régie public,60,200,text_email,fr,0.5125
lequipe.fr,https://www.lequipe.fr/Page/Tous-les-contacts-utiles/1183885,email,u003Eabonumerique@lequipe.fr,,,60,200,text_email,fr,0.5125
lequipe.fr,https://www.lequipe.fr/Page/Tous-les-contacts-utiles/1183885,email,u003Ecommerciauxdigital@amaurymedia.fr,,,60,200,text_email,fr,0.5125
lequipe.fr,https://www.lequipe.fr/Page/Tous-les-contacts-utiles/1183885,email,u003Ecommerciauxequipetv@amaurymedia.fr,,,60,200,text_email,fr,0.5125
lequipe.fr,https://www.lequipe.fr/Page/Tous-les-contacts-utiles/1183885,email,u003Ecourrierdeslecteurs@lequipe.fr,,,60,200,text_email,fr,0.5125
lequipe.fr,https://www.lequipe.fr/Page/Tous-les-contacts-utiles/1183885,email,u003Eeditions@lequipe.fr,,,60,200,text_email,fr,0.5125
lequipe.fr,https://www.lequipe.fr/Page/Tous-les-contacts-utiles/1183885,email,u003Eops@amaurymedia.fr,,,60,200,text_email,fr,0.5125
lequipe.fr,https://www.lequipe.fr/Page/Tous-les-contacts-utiles/1183885,email,u003Ecommerciauxequipeprint@amaurymedia.fr,,,60,200,text_email,fr,0.5125
actu.fr,https://actu.fr/,link,https://actu.fr/contact,Contactez votre rédaction locale,"médias de proximité à travers la France. En savoir plus sur le réseau Suivez-nous Facebook Twitter Vous avez une info ? Contactez votre rédaction locale Découvrez l'offre 100% numérique actu.fr avec Actu Je m'abonne Parti de Dakar, un vol Air France à destination de Paris",60,200,keyword_link,fr,0.5125
actu.fr,https://actu.fr/,link,https://actu.fr/contact,Contactez votre rédaction locale,"médias de proximité à travers la France. En savoir plus sur le réseau Suivez-nous Facebook Twitter Vous avez une info ? Contactez votre rédaction locale Découvrez l'offre 100% numérique actu.fr avec Actu Je m'abonne Parti de Dakar, un vol Air France à destination de Paris",60,200,keyword_link,fr,0.5125
flashscore.fr,https://www.flashscore.fr/privacy-policy/,email,privacy@livesport.eu,,"ière dont nous gérons ces données. Si vous avez des questions ou souhaitez exercer vos droits, veuillez nous écrire à : privacy@livesport.eu . SOMMAIRE Nous traitons principalement les données personnelles pour les finalités suivantes : Assurer la fonctionnali",100,200,text_email,fr,0.5125
flashscore.fr,https://www.flashscore.fr/privacy-policy/,mailto,privacy@livesport.eu,privacy@livesport.eu,"ière dont nous gérons ces données. Si vous avez des questions ou souhaitez exercer vos droits, veuillez nous écrire à : privacy@livesport.eu . SOMMAIRE Nous traitons principalement les données personnelles pour les finalités suivantes : Assurer la fonctionnali",100,200,mailto_link,fr,0.5125
flashscore.fr,https://www.flashscore.fr/privacy-policy/,email,dpo@livesport.eu,,"Officer) qui peut être contacté pour tout sujet relatif au traitement de vos données personnelles, à l’adresse e-mail : dpo@livesport.eu . VOS DROITS RELATIFS AU TRAITEMENT ET COMMENT LES EXERCER Nous reconnaissons que vous disposez de divers droits en lie",80,200,text_email,fr,0.5125
flashscore.fr,https://www.flashscore.fr/privacy-policy/,mailto,dpo@livesport.eu,dpo@livesport.eu,"Officer) qui peut être contacté pour tout sujet relatif au traitement de vos données personnelles, à l’adresse e-mail : dpo@livesport.eu . VOS DROITS RELATIFS AU TRAITEMENT ET COMMENT LES EXERCER Nous reconnaissons que vous disposez de divers droits en lie",80,200,mailto_link,fr,0.5125
flashscore.fr,https://www.flashscore.fr/,link,https://www.flashscore.fr/privacy-policy/,Politique de confidentialité,- Fribourg Lyon - PAOK Ludogorets - Nice Paris FC - Marseille Elche - Barcelone Flashscore.fr Conditions d'utilisation Politique de confidentialité RGPD et journalisme Impressum Publicité Contact Mobile Livescore Sites recommandés FAQ Audio Bonus de paris sportifs Su,60,200,keyword_link,fr,0.5125
flashscore.fr,https://www.flashscore.fr/,link,https://www.flashscore.fr/gdpr/,RGPD et journalisme,orets - Nice Paris FC - Marseille Elche - Barcelone Flashscore.fr Conditions d'utilisation Politique de confidentialité RGPD et journalisme Impressum Publicité Contact Mobile Livescore Sites recommandés FAQ Audio Bonus de paris sportifs Suivez nous Facebook X,60,200,keyword_link,fr,0.5125
flashscore.fr,https://www.flashscore.fr/,link,https://www.flashscore.fr/impressum/,Impressum,C - Marseille Elche - Barcelone Flashscore.fr Conditions d'utilisation Politique de confidentialité RGPD et journalisme Impressum Publicité Contact Mobile Livescore Sites recommandés FAQ Audio Bonus de paris sportifs Suivez nous Facebook X Instagram,60,200,keyword_link,fr,0.5125
flashscore.fr,https://www.flashscore.fr/,link,https://www.flashscore.fr/contact/,Contact,- Barcelone Flashscore.fr Conditions d'utilisation Politique de confidentialité RGPD et journalisme Impressum Publicité Contact Mobile Livescore Sites recommandés FAQ Audio Bonus de paris sportifs Suivez nous Facebook X Instagram TikTok Applicatio,60,200,keyword_link,fr,0.5125
flashscore.fr,https://www.flashscore.fr/impressum/,email,info@livesport.eu,,"VAT number: CZ27433722 100% owned by Livesport Group a.s., UBO: Martin Hájek, Jiří Mareš Tel.: +420 255 702 420 Email: info@livesport.eu Le montant annuel total des recettes publicitaires reçues des autorités ou organismes publics de Tchéquie est de : 0 CZ",60,200,text_email,fr,0.5125
flashscore.fr,https://www.flashscore.fr/contact/,email,support@flashscore.fr,,,60,200,text_email,fr,0.5125
flashscore.fr,https://www.flashscore.fr/contact/,email,nom@domaine.com,,,60,200,text_email,fr,0.5125
flashscore.fr,https://www.flashscore.fr/contact/,jsonld_email,support@flashscore.fr,,,60,200,jsonld,fr,0.5125
20minutes.fr,https://www.20minutes.fr/,link,https://www.20minutes-media.com/contacts,Publicité,ns Classement buteur Ligue 1 Classement buteur Premier League Classement buteur Liga Plan du site Notre charte Archives Publicité Mentions légales CGU Protection des données personnelles Accessibilité : partiellement conforme Gestion des cookies Sup,60,200,keyword_link,fr,0.5125
20minutes.fr,https://www.20minutes.fr/,link,https://www.20minutes.fr/politique-protection-donnees-personnelles,Protection des données personnelles,assement buteur Premier League Classement buteur Liga Plan du site Notre charte Archives Publicité Mentions légales CGU Protection des données personnelles Accessibilité : partiellement conforme Gestion des cookies Supprimer les cookies publicitaires éditeur Nous contacter C,60,200,keyword_link,fr,0.5125
20minutes.fr,https://www.20minutes.fr/,link,https://www.20minutes.fr/contact,Nous contacter,ées personnelles Accessibilité : partiellement conforme Gestion des cookies Supprimer les cookies publicitaires éditeur Nous contacter Choix de consentement © Copyright 20 Minutes La fréquentation de 20 Minutes est certifiée par l‘ACPM,60,200,keyword_link,fr,0.5125
20minutes.fr,https://www.20minutes-media.com/contacts,email,ops@20minutes.fr,,néral et Directeur de la Publication Direction commerciale OPS Alexandra Chausson - Directrice des Opérations Spéciales ops@20minutes.fr Nicolas Poux - Directeur de Production OPS - Offres et Contenus npoux@20minutes.fr Pôle Marketing et Communication Anne,60,200,text_email,fr,0.5125
20minutes.fr,https://www.20minutes-media.com/contacts,email,npoux@20minutes.fr,,- Directrice des Opérations Spéciales ops@20minutes.fr Nicolas Poux - Directeur de Production OPS - Offres et Contenus npoux@20minutes.fr Pôle Marketing et Communication Anne Baron - Directrice de la communication et des partenariats abaron@20minutes.fr Sar,60,200,text_email,fr,0.5125
20minutes.fr,https://www.20minutes-media.com/contacts,email,abaron@20minutes.fr,,enus npoux@20minutes.fr Pôle Marketing et Communication Anne Baron - Directrice de la communication et des partenariats abaron@20minutes.fr Sarah Garcia del Rio - Responsable Partenariats et Relations Publiques actualités Offres Fête de la Science : fusionnez,60,200,text_email,fr,0.5125
20minutes.fr,https://www.20minutes-media.com/contacts,mailto,ops@20minutes.fr,ops@20minutes.fr,néral et Directeur de la Publication Direction commerciale OPS Alexandra Chausson - Directrice des Opérations Spéciales ops@20minutes.fr Nicolas Poux - Directeur de Production OPS - Offres et Contenus npoux@20minutes.fr Pôle Marketing et Communication Anne,60,200,mailto_link,fr,0.5125
20minutes.fr,https://www.20minutes-media.com/contacts,mailto,npoux@20minutes.fr,npoux@20minutes.fr,- Directrice des Opérations Spéciales ops@20minutes.fr Nicolas Poux - Directeur de Production OPS - Offres et Contenus npoux@20minutes.fr Pôle Marketing et Communication Anne Baron - Directrice de la communication et des partenariats abaron@20minutes.fr Sar,60,200,mailto_link,fr,0.5125
20minutes.fr,https://www.20minutes-media.com/contacts,mailto,abaron@20minutes.fr,abaron@20minutes.fr,enus npoux@20minutes.fr Pôle Marketing et Communication Anne Baron - Directrice de la communication et des partenariats abaron@20minutes.fr Sarah Garcia del Rio - Responsable Partenariats et Relations Publiques actualités Offres Fête de la Science : fusionnez,60,200,mailto_link,fr,0.5125
20minutes.fr,https://www.20minutes-media.com/contacts,link,https://www.20minutes-media.com/rubrique/contacts,Contacts,Contacts - 20 Minutes Media À propos Chiffres clés Nos solutions Best cases Marketing Efficacité Études Panel 20 Minutes en 20 s,60,200,keyword_link,fr,0.5125
lemonde.fr,https://moncompte.lemonde.fr/gcontacts,email,dpo@groupelemonde.fr,,"onsultez notre politique de confidentialité ou contactez notre délégué à la protection des données via l'adresse e-mail dpo@groupelemonde.fr. Si vous offrez un abonnement, assurez-vous que la personne concernée accepte de communiquer son adresse e-mail et ses",80,200,text_email,fr,0.5125
lemonde.fr,https://www.lemonde.fr/,link,https://www.lemonde.fr/faq/?question=je-souhaite-contacter-le-service-client-du-monde,contactez le service client,"e abonnement est mis en pause pendant 1 mois jusqu’au #suspension_date#. Si vous souhaitez annuler votre mise en pause, contactez le service client . Fermer Fermer les actualités en continu 09:12 La Corée du Nord procède à un nouveau tir de missile balistique 08:54 A",60,200,keyword_link,fr,0.5125
lemonde.fr,https://www.lemonde.fr/,link,https://www.lemonde.fr/faq/?thematic=contacter,Contacter Le Monde,s du Monde S’abonner / Se désabonner Se connecter Consulter le Journal du jour Évenements abonnés Jeux-concours abonnés Contacter Le Monde Informations légales le Monde Mentions légales Conditions générales Charte du Groupe Politique de confidentialité Aide,60,200,keyword_link,fr,0.5125
lemonde.fr,https://www.lemonde.fr/,link,https://www.lemonde.fr/confidentialite/,Politique de confidentialité,oncours abonnés Contacter Le Monde Informations légales le Monde Mentions légales Conditions générales Charte du Groupe Politique de confidentialité Aide (FAQ) Informations légales le Monde Mentions légales Charte du Groupe Politique de confidentialité Gestion des coo,60,200,keyword_link,fr,0.5125
lemonde.fr,https://www.lemonde.fr/faq/?question=je-souhaite-contacter-le-service-client-du-monde,link,https://www.lemonde.fr/confidentialite,Politique de confidentialité,Le Monde Accedez au Monde.fr Bonjour Déconnexion Mentions légales Conditions générales de vente Politique de confidentialité Le Monde.fr La boutique en ligne Le Monde Evénements abonnés Besoin d'aide ?,60,200,keyword_link,fr,0.5125
lemonde.fr,https://moncompte.lemonde.fr/gcontacts,email,johndoe@domain.com,,,60,200,text_email,fr,0.5125
lemonde.fr,https://moncompte.lemonde.fr/gcontacts,link,https://lemonde.fr/confidentialite/,Politique de confidentialité,"tres options de contact : Pour connaître vos droits sur les données personnelles que vous nous confiez, consultez notre politique de confidentialité ou contactez notre délégué à la protection des données via l'adresse e-mail dpo@groupelemonde.fr. Si vous offrez un abo",60,200,keyword_link,fr,0.5125
leparisien.fr,https://www.leparisien.fr:443/,email,codesource@leparisien.fr,,,60,200,text_email,fr,0.5125
leparisien.fr,https://www.leparisien.fr:443/,email,shopping-bags@4x.png,,,60,200,text_email,fr,0.5125
leparisien.fr,https://www.leparisien.fr:443/,email,arenou@leparisien.fr,,,60,200,text_email,fr,0.5125
leparisien.fr,https://www.leparisien.fr:443/,email,floisy@leparisien.fr,,,60,200,text_email,fr,0.5125
leparisien.fr,https://www.leparisien.fr:443/,email,svincendon@leparisien.fr,,,60,200,text_email,fr,0.5125
leparisien.fr,https://www.leparisien.fr:443/,email,cmateus@leparisien.fr,,,60,200,text_email,fr,0.5125
leparisien.fr,https://www.leparisien.fr:443/,email,cbauduin@leparisien.fr,,,60,200,text_email,fr,0.5125
leparisien.fr,https://www.leparisien.fr:443/,email,jcloris@leparisien.fr,,,60,200,text_email,fr,0.5125
leparisien.fr,https://www.leparisien.fr:443/,email,eguerini@leparisien.fr,,,60,200,text_email,fr,0.5125
leparisien.fr,https://www.leparisien.fr:443/,email,mgreco@leparisien.fr,,,60,200,text_email,fr,0.5125
leparisien.fr,https://www.leparisien.fr:443/,email,vhunsinger@leparisien.fr,,,60,200,text_email,fr,0.5125
leparisien.fr,https://www.leparisien.fr:443/,email,maublanc@leparisien.fr,,,60,200,text_email,fr,0.5125
